nombre_completo,correo,dni,carrera,ciclo,fecha_nacimiento,telefono,direccion,clave
Edison Pope,U89604228@utp.edu.pe,89604228,Negocios Internacionales,8,2000-06-17,+51 953695197,Direccion 8,"{~^`,$lP"
Aubrey Hull,U82419374@utp.edu.pe,82419374,Ingenieria de Sistemas,3,1997-09-14,+51 992537792,Direccion 31,VD0R7YoS
Alfreda Vance,U38570292@utp.edu.pe,38570292,Psicologia,2,1996-06-07,+51 940910548,Direccion 57,"/[-@|8Q"""
Ahmad Roy,U83865653@utp.edu.pe,83865653,Derecho,8,1997-04-16,+51 997658962,Direccion 69,RjzDeH&s
Summer Travis,U16907479@utp.edu.pe,16907479,Medicina,1,2004-02-03,+51 918456569,Direccion 31,)5-H'&n#
Daron Yates,U62539018@utp.edu.pe,62539018,Negocios Internacionales,2,2003-03-17,+51 921964990,Direccion 55,R#k<Kl??
Chi Mcclure,U74502682@utp.edu.pe,74502682,Ingenieria de Sistemas,8,1993-03-13,+51 974905402,Direccion 89,X#WmT)+M
Bryan Vang,U84231404@utp.edu.pe,84231404,Psicologia,3,1997-06-23,+51 956061794,Direccion 43,"Z,2Yi7dL"
Rochelle Buck,U79243706@utp.edu.pe,79243706,Derecho,1,2004-08-28,+51 952176063,Direccion 33,SE<k:stJ
Edith Washington,U80719470@utp.edu.pe,80719470,Medicina,1,1995-04-18,+51 950366428,Direccion 35,"AJ=mYhc"""
Natalie Holden,U71034244@utp.edu.pe,71034244,Negocios Internacionales,4,1997-04-14,+51 962730706,Direccion 98,np(Yia}(
Ramiro Marquez,U30870073@utp.edu.pe,30870073,Ingenieria de Sistemas,6,1993-02-15,+51 920830872,Direccion 30,D??4!=Sc
Danny Sosa,U62429353@utp.edu.pe,62429353,Psicologia,3,1993-05-28,+51 901872486,Direccion 99,C|5|-yck
Emilia Smith,U84117820@utp.edu.pe,84117820,Derecho,9,2000-05-14,+51 996539756,Direccion 68,uolD4o8X
Bernard Wong,U88944804@utp.edu.pe,88944804,Medicina,9,1998-12-28,+51 986477690,Direccion 73,JQw#dyTb
Olga Flowers,U35804024@utp.edu.pe,35804024,Negocios Internacionales,9,1994-08-04,+51 940054569,Direccion 26,o(yXD{<8
Florine Mcpherson,U34414453@utp.edu.pe,34414453,Ingenieria de Sistemas,6,2003-07-16,+51 900307911,Direccion 89,Mf3nMgDQ
Kasey Montgomery,U74192230@utp.edu.pe,74192230,Psicologia,10,2000-12-14,+51 979812344,Direccion 62,",ZW}3H-E"
Rosalyn Dalton,U57162957@utp.edu.pe,57162957,Derecho,7,1998-11-14,+51 916661616,Direccion 32,woe'?rj/
Grover Choi,U58194101@utp.edu.pe,58194101,Medicina,3,1999-04-04,+51 926330571,Direccion 33,&TjO)~)Y
Alyce Velazquez,U11436814@utp.edu.pe,11436814,Negocios Internacionales,8,2004-02-16,+51 935383814,Direccion 92,v\=Uw`F*
Terrance Thompson,U83306810@utp.edu.pe,83306810,Ingenieria de Sistemas,5,2001-02-21,+51 967954556,Direccion 53,bDHi%R3x
Craig Rojas,U56245034@utp.edu.pe,56245034,Psicologia,7,1999-05-04,+51 983610186,Direccion 78,~j|u?V0n
Saul Acevedo,U33488617@utp.edu.pe,33488617,Derecho,2,2004-12-04,+51 909889088,Direccion 29,Ghgg>'7|
Sasha Espinoza,U20080093@utp.edu.pe,20080093,Medicina,8,2000-06-03,+51 939321448,Direccion 17,~)ff=Hs~
Ernestine Andrade,U47481058@utp.edu.pe,47481058,Negocios Internacionales,2,1999-04-02,+51 929500707,Direccion 76,`8%6QS)u
Elaine Hamilton,U37408746@utp.edu.pe,37408746,Ingenieria de Sistemas,1,2001-08-19,+51 963795613,Direccion 54,Wn[:)&]d
Gena Norman,U54839735@utp.edu.pe,54839735,Psicologia,3,2004-02-29,+51 910544839,Direccion 51,"D.""td*(x"
Andreas Norris,U26178334@utp.edu.pe,26178334,Derecho,3,1999-12-29,+51 970016594,Direccion 99,wS8u>7cj
Brianna Perez,U13293591@utp.edu.pe,13293591,Medicina,1,2002-03-29,+51 946648027,Direccion 22,Q$}-}eNJ
Virgie Mason,U75473490@utp.edu.pe,75473490,Negocios Internacionales,10,1997-06-12,+51 907641036,Direccion 1,~5hF6*Gn
Rupert Robinson,U23669457@utp.edu.pe,23669457,Ingenieria de Sistemas,5,2004-01-21,+51 951874715,Direccion 18,">ML8,.e}"
Judson Carter,U69581177@utp.edu.pe,69581177,Psicologia,2,1995-11-26,+51 983614339,Direccion 17,gj.dB\sA
Irving Zuniga,U51608056@utp.edu.pe,51608056,Derecho,10,1994-06-08,+51 933715596,Direccion 72,5x{EMfLX
Darla Herman,U69302938@utp.edu.pe,69302938,Medicina,7,1995-07-06,+51 959320142,Direccion 60,'~l`wZ^O
Katharine Villa,U19749160@utp.edu.pe,19749160,Negocios Internacionales,5,1997-05-06,+51 943396488,Direccion 71,ro%Fqd).
