nombre_completo,correo,dni,especialidad,fecha_ingreso,telefono,direccion,contraseña
Adriano Ramos,C87349102@utp.edu.pe,98564529,Matematicas,2020-09-16 00:00:00,+51 928439535,"Av Tupac Amaru 987, Comas",ju3ddrq4zg1r
Maite Soto,C19283746@utp.edu.pe,52423929,Biologia,2018-04-25 00:00:00,+51 935002537,"Jr Rufino Torrico 109, Cercado de Lima",m058c7gjrkqv
Diego Alvarado,C65094837@utp.edu.pe,57365221,Quimica,2020-04-15 00:00:00,+51 931882520,"Av San Luis 210, San Borja",0gcxt23x860y
Paulette Caceres,C30192874@utp.edu.pe,10658032,Fisica,2020-11-26 00:00:00,+51 985609191,"Calle Roma 321, San Isidro",h0e8qzakdjjb
Salvador Quispe,C98765432@utp.edu.pe,95180573,Biologia,2021-07-01 00:00:00,+51 930219071,"Av Abancay 432, Cercado de Lima",doxgqy9lu1zo
Cristina Vasquez,C54321098@utp.edu.pe,51160328,Fisica,2022-01-31 00:00:00,+51 949846538,"Calle Los Laureles 567, Surco",vewopnz73d4g
Luis Mendoza,C23456789@utp.edu.pe,79152495,Ciencias de la Computacion,2020-08-26 00:00:00,+51 937340332,"Jr De La Union 456, Cercado de Lima",ojkkzt25eafj
Sofia Rojas,C78901234@utp.edu.pe,72978023,Ingenieria,2021-05-29 00:00:00,+51 981009291,"Calle Las Begonias 789, San Isidro",9912rug4967u
Carlos Quispe,C45678901@utp.edu.pe,60417728,Ciencias de la Computacion,2019-07-04 00:00:00,+51 992883484,"Av Tacna 101, Cercado de Lima",muw256aepwqw
Maria Vargas,C01234567@utp.edu.pe,83316293,Ciencias de la Computacion,2020-10-18 00:00:00,+51 942584850,"Jr Cajamarca 234, Breña, Lima, Peru",uj52y2uvyp1b
Pedro Cardenas,C89012345@utp.edu.pe,56767517,Matematicas,2022-01-21 00:00:00,+51 958721017,"Calle Alcanfores 567, Miraflores",ngq4za28fpyv
Laura Flores,C67890123@utp.edu.pe,63394777,Biologia,2019-07-01 00:00:00,+51 948118404,"Av Arequipa 890, Lince",tsdaoeljcjnz
Diego Soto,C34567890@utp.edu.pe,76916303,Quimica,2019-09-15 00:00:00,+51 911345694,"Jr Risso 112, Lince",avev0ttnyf08
Valeria Ramos,C90123456@utp.edu.pe,80746714,Ingenieria,2021-06-14 00:00:00,+51 917144624,"Av Javier Prado Este 345, San Borja",kpv7h9af93k8
Gabriel Herrera,C56789012@utp.edu.pe,87360344,Biologia,2018-06-30 00:00:00,+51 947218926,"Calle Los Robles 678, La Molina",hkuppptzw1ns
Camila Paredes,C12345678@utp.edu.pe,61842914,Biologia,2022-11-25 00:00:00,+51 983500944,"Av La Marina 901, San Miguel",10plr22y9fs9
Ricardo Salazar,C78901234@utp.edu.pe,35743894,Fisica,2021-02-08 00:00:00,+51 901237519,"Jr Zorritos 210, Breña",hd4i21byt6wc
Fatima Benites,C45678901@utp.edu.pe,22553045,Ciencias Ambientales,2022-01-27 00:00:00,+51 932435170,"Calle Tarata 321, Miraflores",h3l8kfwg9zdt
Alejandro Castro,C01234567@utp.edu.pe,74987042,Ingenieria Informatica,2022-04-12 00:00:00,+51 905905840,"Av Colonial 432, Cercado de Lima",quo78srl1k1j
Daniela Ortiz,C89012345@utp.edu.pe,29427725,Ciencias Economicas,2020-05-29 00:00:00,+51 960849916,"Jr Garcilaso de la Vega 543, Magdalena del Mar",vad4q2sv2zvz
Juan Vargas,C67890123@utp.edu.pe,79326446,Matematicas,2018-02-09 00:00:00,+51 956146107,"Av Salaverry 654, Jesus Maria",xfw6y6x9pyvj
Luciana Romero,C34567890@utp.edu.pe,21199986,Ciencias de la Computacion,2018-11-04 00:00:00,+51 945981792,"Calle Cantuarias 765, Miraflores",06yx938x5wn0
Sebastian Gil,C90123456@utp.edu.pe,18432872,Ciencias Ambientales,2019-05-24 00:00:00,+51 988082089,"Av Benavides 876, Santiago de Surco",iwtuae16x9up
